species,date,year,km1grid,km2grid,km5grid,km10grid,tp5,tp10
Vespula germanica,1927-10-03,1927,SP5106,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula germanica,1926-05-02,1926,SP5102,SP50B,SP50SW,SP50,1925-1929,1920-1929
Vespula germanica,1900-04-19,1900,SP5107,SP50D,SP50NW,SP50,1900-1904,1900-1909
Vespula germanica,1900-05-05,1900,SP5107,SP50D,SP50NW,SP50,1900-1904,1900-1909
Vespula germanica,1927-11-03,1927,SP5107,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula germanica,1927-10-03,1927,SP5106,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula vulgaris,1916-02-06,1916,SP5305,SP50H,SP50NW,SP50,1915-1919,1910-1919
Vespula germanica,1927-06-03,1927,SP5107,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula vulgaris,1925-08-05,1925,SP5102,SP50B,SP50SW,SP50,1925-1929,1920-1929
Vespula germanica,1922-02-24,1922,SP5106,SP50D,SP50NW,SP50,1920-1924,1920-1929
Vespula germanica,1926-06-04,1926,SP5102,SP50B,SP50SW,SP50,1925-1929,1920-1929
Vespula germanica,1927-03-21,1927,SP5106,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula vulgaris,1901-04-19,1901,SP5107,SP50D,SP50NW,SP50,1900-1904,1900-1909
Vespula germanica,1927-10-03,1927,SP5106,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula germanica,1933-10-16,1933,SP5106,SP50D,SP50NW,SP50,1930-1934,1930-1939
Vespula vulgaris,1932-06-15,1932,SP5102,SP50B,SP50SW,SP50,1930-1934,1930-1939
Vespula germanica,1919-10-16,1919,SP5106,SP50D,SP50NW,SP50,1915-1919,1910-1919
Vespula germanica,1925-08-02,1925,SP5102,SP50B,SP50SW,SP50,1925-1929,1920-1929
Vespula vulgaris,1925-08-05,1925,SP5102,SP50B,SP50SW,SP50,1925-1929,1920-1929
Vespula vulgaris,1923-02-03,1923,SP5106,SP50D,SP50NW,SP50,1920-1924,1920-1929
Vespula germanica,1900-04-17,1900,SP5107,SP50D,SP50NW,SP50,1900-1904,1900-1909
Vespula vulgaris,1925-08-02,1925,SP5102,SP50B,SP50SW,SP50,1925-1929,1920-1929
Vespula germanica,1927-04-20,1927,SP5107,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula germanica,1900-05-05,1900,SP5107,SP50D,SP50NW,SP50,1900-1904,1900-1909
Vespula germanica,1927-04-24,1927,SP5106,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula vulgaris,1989-11-08,1989,SP9807,SP90Y,SP90NE,SP90,1985-1989,1980-1989
Vespula vulgaris,1991-03-07,1991,SP9807,SP90Y,SP90NE,SP90,1990-1994,1990-1999
Vespula vulgaris,1912-09-06,1912,ST3261,ST36F,ST36SW,ST36,1910-1914,1910-1919
Vespula germanica,1916-09-08,1916,ST3261,ST36F,ST36SW,ST36,1915-1919,1910-1919
Vespula germanica,1921-09-16,1921,ST3262,ST36G,ST36SW,ST36,1920-1924,1920-1929
Vespa crabro,1921-10-09,1921,ST3261,ST36F,ST36SW,ST36,1920-1924,1920-1929
Vespula vulgaris,1919-09-18,1919,ST3262,ST36G,ST36SW,ST36,1915-1919,1910-1919
Vespula vulgaris,1919-09-17,1919,ST3262,ST36G,ST36SW,ST36,1915-1919,1910-1919
Vespula germanica,1921-09-16,1921,ST3262,ST36G,ST36SW,ST36,1920-1924,1920-1929
Vespula germanica,1921-08-21,1921,ST3261,ST36F,ST36SW,ST36,1920-1924,1920-1929
Vespula vulgaris,1920-04-17,1920,ST3261,ST36F,ST36SW,ST36,1920-1924,1920-1929
Vespula vulgaris,1914-04-04,1914,ST3261,ST36F,ST36SW,ST36,1910-1914,1910-1919
Vespula vulgaris,1940-10-13,1940,SU0100,SU00A,SU00SW,SU00,1940-1944,1940-1949
Vespula germanica,1935-12-29,1935,SU0100,SU00A,SU00SW,SU00,1935-1939,1930-1939
Vespa crabro,1933-08-24,1933,SU2908,SU20Z,SU20NE,SU20,1930-1934,1930-1939
Vespa crabro,1937-09-04,1937,SU2608,SU20U,SU20NE,SU20,1935-1939,1930-1939
Vespa crabro,1977-11-03,1977,SU2608,SU20U,SU20NE,SU20,1975-1979,1970-1979
Vespula vulgaris,1927-08-10,1927,SU2608,SU20U,SU20NE,SU20,1925-1929,1920-1929
Vespa crabro,1952-08-21,1952,SU2908,SU20Z,SU20NE,SU20,1950-1954,1950-1959
Vespa crabro,1933-08-24,1933,SU2908,SU20Z,SU20NE,SU20,1930-1934,1930-1939
Vespa crabro,1977-11-03,1977,SU2608,SU20U,SU20NE,SU20,1975-1979,1970-1979
Vespa crabro,1933-08-24,1933,SU2908,SU20Z,SU20NE,SU20,1930-1934,1930-1939
Vespa crabro,1919-06-18,1919,SU2902,SU20W,SU20SE,SU20,1915-1919,1910-1919
Vespa crabro,1937-09-04,1937,SU2608,SU20U,SU20NE,SU20,1935-1939,1930-1939
Vespa crabro,1937-09-04,1937,SU2608,SU20U,SU20NE,SU20,1935-1939,1930-1939
Vespa crabro,1977-11-03,1977,SU2608,SU20U,SU20NE,SU20,1975-1979,1970-1979
Vespula vulgaris,1938-06-05,1938,SU2507,SU20N,SU20NE,SU20,1935-1939,1930-1939
Vespa crabro,1917-09-01,1917,SU2608,SU20U,SU20NE,SU20,1915-1919,1910-1919
Vespa crabro,1919-06-19,1919,SU2608,SU20U,SU20NE,SU20,1915-1919,1910-1919
Vespa crabro,1977-11-03,1977,SU2608,SU20U,SU20NE,SU20,1975-1979,1970-1979
Vespa crabro,1933-12-03,1933,SU2608,SU20U,SU20NE,SU20,1930-1934,1930-1939
Vespa crabro,1917-09-01,1917,SU2608,SU20U,SU20NE,SU20,1915-1919,1910-1919
Vespa crabro,1933-07-28,1933,SU2608,SU20U,SU20NE,SU20,1930-1934,1930-1939
Vespa crabro,1937-09-04,1937,SU2608,SU20U,SU20NE,SU20,1935-1939,1930-1939
Vespa crabro,1934-08-04,1934,SU2902,SU20W,SU20SE,SU20,1930-1934,1930-1939
Vespa crabro,1936-07-07,1936,SU2902,SU20W,SU20SE,SU20,1935-1939,1930-1939
Vespula vulgaris,1927-08-10,1927,SU2608,SU20U,SU20NE,SU20,1925-1929,1920-1929
Vespa crabro,1977-11-03,1977,SU2608,SU20U,SU20NE,SU20,1975-1979,1970-1979
Vespula vulgaris,1927-08-10,1927,SU2608,SU20U,SU20NE,SU20,1925-1929,1920-1929
Vespa crabro,1917-09-01,1917,SU2608,SU20U,SU20NE,SU20,1915-1919,1910-1919
Vespa crabro,1917-09-01,1917,SU2608,SU20U,SU20NE,SU20,1915-1919,1910-1919
Vespa crabro,1939-07-03,1939,SU2608,SU20U,SU20NE,SU20,1935-1939,1930-1939
Vespa crabro,1949-07-16,1949,SU2608,SU20U,SU20NE,SU20,1945-1949,1940-1949
Vespa crabro,1951-11-22,1951,SU2608,SU20U,SU20NE,SU20,1950-1954,1950-1959
Vespa crabro,1952-08-21,1952,SU2908,SU20Z,SU20NE,SU20,1950-1954,1950-1959
Vespula vulgaris,1933-08-05,1933,SU2908,SU20Z,SU20NE,SU20,1930-1934,1930-1939
Vespa crabro,1917-09-01,1917,SU2608,SU20U,SU20NE,SU20,1915-1919,1910-1919
Vespula germanica,1906-05-14,1906,SU2608,SU20U,SU20NE,SU20,1905-1909,1900-1909
Vespa crabro,1930-08-07,1930,SU2902,SU20W,SU20SE,SU20,1930-1934,1930-1939
Vespula vulgaris,1927-08-10,1927,SU2608,SU20U,SU20NE,SU20,1925-1929,1920-1929
Vespa crabro,1952-08-16,1952,SU2908,SU20Z,SU20NE,SU20,1950-1954,1950-1959
Vespula germanica,1933-08-16,1933,SU2908,SU20Z,SU20NE,SU20,1930-1934,1930-1939
Vespa crabro,1952-08-16,1952,SU2908,SU20Z,SU20NE,SU20,1950-1954,1950-1959
Vespa crabro,1949-07-16,1949,SU2608,SU20U,SU20NE,SU20,1945-1949,1940-1949
Vespula germanica,1933-09-10,1933,SU2908,SU20Z,SU20NE,SU20,1930-1934,1930-1939
Vespa crabro,1949-07-16,1949,SU2608,SU20U,SU20NE,SU20,1945-1949,1940-1949
Vespa crabro,1972-11-25,1972,SU2507,SU20N,SU20NE,SU20,1970-1974,1970-1979
Vespa crabro,1933-08-24,1933,SU2908,SU20Z,SU20NE,SU20,1930-1934,1930-1939
Vespula germanica,1933-08-02,1933,SU2908,SU20Z,SU20NE,SU20,1930-1934,1930-1939
Vespa crabro,1917-09-01,1917,SU2608,SU20U,SU20NE,SU20,1915-1919,1910-1919
Vespula vulgaris,1927-08-10,1927,SU2608,SU20U,SU20NE,SU20,1925-1929,1920-1929
Vespa crabro,1937-04-01,1937,SU2608,SU20U,SU20NE,SU20,1935-1939,1930-1939
Vespa crabro,1971-09-18,1971,SU2905,SU20X,SU20NE,SU20,1970-1974,1970-1979
Vespa crabro,1952-08-21,1952,SU2908,SU20Z,SU20NE,SU20,1950-1954,1950-1959
Vespa crabro,1972-11-25,1972,SU2507,SU20N,SU20NE,SU20,1970-1974,1970-1979
Vespa crabro,1908-08-13,1908,SU2608,SU20U,SU20NE,SU20,1905-1909,1900-1909
Vespa crabro,1952-08-21,1952,SU2908,SU20Z,SU20NE,SU20,1950-1954,1950-1959
Vespa crabro,1990-10-01,1990,SU2608,SU20U,SU20NE,SU20,1990-1994,1990-1999
Vespula vulgaris,1927-08-10,1927,SU2608,SU20U,SU20NE,SU20,1925-1929,1920-1929
Vespa crabro,1937-08-07,1937,SU2902,SU20W,SU20SE,SU20,1935-1939,1930-1939
Vespula vulgaris,1933-08-05,1933,SU2908,SU20Z,SU20NE,SU20,1930-1934,1930-1939
Vespula vulgaris,1927-08-10,1927,SU2608,SU20U,SU20NE,SU20,1925-1929,1920-1929
Vespa crabro,1928-08-01,1928,SU2608,SU20U,SU20NE,SU20,1925-1929,1920-1929
Vespa crabro,1952-08-16,1952,SU2908,SU20Z,SU20NE,SU20,1950-1954,1950-1959
Vespa crabro,1928-08-01,1928,SU2608,SU20U,SU20NE,SU20,1925-1929,1920-1929
Vespa crabro,1969-11-08,1969,SU2905,SU20X,SU20NE,SU20,1965-1969,1960-1969
Vespula vulgaris,1927-08-10,1927,SU2608,SU20U,SU20NE,SU20,1925-1929,1920-1929
Vespa crabro,1915-07-30,1915,SU2608,SU20U,SU20NE,SU20,1915-1919,1910-1919
Vespa crabro,1968-08-27,1968,SU2908,SU20Z,SU20NE,SU20,1965-1969,1960-1969
Vespa crabro,1905-05-14,1905,SU2608,SU20U,SU20NE,SU20,1905-1909,1900-1909
Vespa crabro,1952-08-21,1952,SU2908,SU20Z,SU20NE,SU20,1950-1954,1950-1959
Vespa crabro,1928-08-01,1928,SU2608,SU20U,SU20NE,SU20,1925-1929,1920-1929
Vespa crabro,1917-09-01,1917,SU2608,SU20U,SU20NE,SU20,1915-1919,1910-1919
Vespula germanica,1920-08-26,1920,SU3802,SU30W,SU30SE,SU30,1920-1924,1920-1929
Vespula germanica,1916-04-25,1916,SU3802,SU30W,SU30SE,SU30,1915-1919,1910-1919
Vespula germanica,1920-08-28,1920,SU3802,SU30W,SU30SE,SU30,1920-1924,1920-1929
Vespa crabro,1912-10-14,1912,SU3802,SU30W,SU30SE,SU30,1910-1914,1910-1919
Vespa crabro,1912-08-21,1912,SU3802,SU30W,SU30SE,SU30,1910-1914,1910-1919
Vespa crabro,1912-08-21,1912,SU3802,SU30W,SU30SE,SU30,1910-1914,1910-1919
Vespula vulgaris,1986-07-21,1986,SU3601,SU30Q,SU30SE,SU30,1985-1989,1980-1989
Vespa crabro,1911-10-14,1911,SU3802,SU30W,SU30SE,SU30,1910-1914,1910-1919
Vespa crabro,1911-10-14,1911,SU3802,SU30W,SU30SE,SU30,1910-1914,1910-1919
Vespa crabro,1908-08-14,1908,SU3307,SU30I,SU30NW,SU30,1905-1909,1900-1909
Vespula germanica,1920-08-25,1920,SU3802,SU30W,SU30SE,SU30,1920-1924,1920-1929
Vespa crabro,1912-10-14,1912,SU3802,SU30W,SU30SE,SU30,1910-1914,1910-1919
Vespa crabro,1933-08-24,1933,SU3005,SU30C,SU30NW,SU30,1930-1934,1930-1939
Vespula germanica,1920-08-28,1920,SU3802,SU30W,SU30SE,SU30,1920-1924,1920-1929
Vespa crabro,1970-08-29,1970,SU3305,SU30H,SU30NW,SU30,1970-1974,1970-1979
Vespa crabro,1912-10-14,1912,SU3802,SU30W,SU30SE,SU30,1910-1914,1910-1919
Vespa crabro,1912-09-18,1912,SU3802,SU30W,SU30SE,SU30,1910-1914,1910-1919
Vespa crabro,1920-08-21,1920,SU3802,SU30W,SU30SE,SU30,1920-1924,1920-1929
Vespa crabro,1912-10-14,1912,SU3802,SU30W,SU30SE,SU30,1910-1914,1910-1919
Vespa crabro,1908-08-14,1908,SU3307,SU30I,SU30NW,SU30,1905-1909,1900-1909
Vespula vulgaris,1960-10-27,1960,SU3512,SU31L,SU31SE,SU31,1960-1964,1960-1969
Vespa crabro,1953-06-06,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula vulgaris,1966-06-21,1966,SU3512,SU31L,SU31SE,SU31,1965-1969,1960-1969
Vespula germanica,1959-08-04,1959,SU3512,SU31L,SU31SE,SU31,1955-1959,1950-1959
Vespa crabro,1952-08-05,1952,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespa crabro,1953-06-06,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespa crabro,1953-04-13,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula germanica,1960-05-09,1960,SU3512,SU31L,SU31SE,SU31,1960-1964,1960-1969
Vespa crabro,1953-06-06,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula vulgaris,1955-09-24,1955,SU3512,SU31L,SU31SE,SU31,1955-1959,1950-1959
Vespula vulgaris,1966-09-04,1966,SU3512,SU31L,SU31SE,SU31,1965-1969,1960-1969
Vespula germanica,1952-08-05,1952,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula vulgaris,1966-07-23,1966,SU3512,SU31L,SU31SE,SU31,1965-1969,1960-1969
Vespula vulgaris,1952-08-08,1952,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespa crabro,1953-08-01,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula vulgaris,1960-07-31,1960,SU3512,SU31L,SU31SE,SU31,1960-1964,1960-1969
Vespula vulgaris,1959-09-27,1959,SU3512,SU31L,SU31SE,SU31,1955-1959,1950-1959
Vespula vulgaris,1953-06-23,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula vulgaris,1953-06-14,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula vulgaris,1953-06-23,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespa crabro,1953-06-06,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula vulgaris,1960-05-09,1960,SU3512,SU31L,SU31SE,SU31,1960-1964,1960-1969
Vespula vulgaris,1959-10-31,1959,SU3512,SU31L,SU31SE,SU31,1955-1959,1950-1959
Vespula vulgaris,1960-08-02,1960,SU3512,SU31L,SU31SE,SU31,1960-1964,1960-1969
Vespula vulgaris,1959-10-17,1959,SU3512,SU31L,SU31SE,SU31,1955-1959,1950-1959
Vespula germanica,1952-08-05,1952,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula vulgaris,1959-08-04,1959,SU3512,SU31L,SU31SE,SU31,1955-1959,1950-1959
Vespula vulgaris,1953-06-23,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula vulgaris,1953-05-03,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula germanica,1952-08-06,1952,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula vulgaris,1923-05-06,1923,SU3512,SU31L,SU31SE,SU31,1920-1924,1920-1929
Vespula vulgaris,1959-10-17,1959,SU3512,SU31L,SU31SE,SU31,1955-1959,1950-1959
Vespula germanica,1952-08-06,1952,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula germanica,1952-08-05,1952,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespa crabro,1958-06-02,1958,SU3512,SU31L,SU31SE,SU31,1955-1959,1950-1959
Vespa crabro,1953-08-01,1953,SU3512,SU31L,SU31SE,SU31,1950-1954,1950-1959
Vespula vulgaris,1952-08-03,1952,SU3224,SU32H,SU32SW,SU32,1950-1954,1950-1959
Vespula vulgaris,1964-08-09,1964,SU3224,SU32H,SU32SW,SU32,1960-1964,1960-1969
Vespula germanica,1966-08-21,1966,SU3224,SU32H,SU32SW,SU32,1965-1969,1960-1969
Vespula vulgaris,1966-09-24,1966,SU3224,SU32H,SU32SW,SU32,1965-1969,1960-1969
Vespula germanica,1975-04-01,1975,SU3224,SU32H,SU32SW,SU32,1975-1979,1970-1979
Vespula germanica,1960-04-18,1960,SU3224,SU32H,SU32SW,SU32,1960-1964,1960-1969
Vespula vulgaris,1966-09-16,1966,SU3224,SU32H,SU32SW,SU32,1965-1969,1960-1969
Vespula vulgaris,1966-08-27,1966,SU3224,SU32H,SU32SW,SU32,1965-1969,1960-1969
Vespula germanica,1959-07-05,1959,SU3224,SU32H,SU32SW,SU32,1955-1959,1950-1959
Vespula vulgaris,1960-07-03,1960,SU3224,SU32H,SU32SW,SU32,1960-1964,1960-1969
Vespula vulgaris,1964-08-09,1964,SU3224,SU32H,SU32SW,SU32,1960-1964,1960-1969
Vespula vulgaris,1966-09-16,1966,SU3224,SU32H,SU32SW,SU32,1965-1969,1960-1969
Vespula vulgaris,1966-09-24,1966,SU3224,SU32H,SU32SW,SU32,1965-1969,1960-1969
Vespula vulgaris,1966-08-27,1966,SU3224,SU32H,SU32SW,SU32,1965-1969,1960-1969
Vespula vulgaris,1966-09-16,1966,SU3224,SU32H,SU32SW,SU32,1965-1969,1960-1969
Vespula vulgaris,1958-08-05,1958,SU4519,SU41P,SU41NE,SU41,1955-1959,1950-1959
Vespa crabro,1975-10-02,1975,SU4114,SU41C,SU41SW,SU41,1975-1979,1970-1979
Vespa crabro,1952-08-28,1952,SU4114,SU41C,SU41SW,SU41,1950-1954,1950-1959
Vespula vulgaris,1981-06-21,1981,SU4829,SU42Z,SU42NE,SU42,1980-1984,1980-1989
Vespula germanica,1977-07-02,1977,SU4829,SU42Z,SU42NE,SU42,1975-1979,1970-1979
Vespula vulgaris,1979-08-10,1979,SU4827,SU42Y,SU42NE,SU42,1975-1979,1970-1979
Vespula vulgaris,1978-12-02,1978,SU4829,SU42Z,SU42NE,SU42,1975-1979,1970-1979
Vespula vulgaris,1971-05-09,1971,SU5406,SU50N,SU50NW,SU50,1970-1974,1970-1979
Vespula vulgaris,1974-03-15,1974,SU5107,SU50D,SU50NW,SU50,1970-1974,1970-1979
Vespula vulgaris,1970-10-23,1970,SU5406,SU50N,SU50NW,SU50,1970-1974,1970-1979
Vespula vulgaris,1909-05-24,1909,SU5406,SU50N,SU50NW,SU50,1905-1909,1900-1909
Vespula vulgaris,1971-08-28,1971,SU5410,SU51K,SU51SW,SU51,1970-1974,1970-1979
Vespula vulgaris,1976-03-28,1976,SU5410,SU51K,SU51SW,SU51,1975-1979,1970-1979
Vespula vulgaris,1971-08-28,1971,SU5410,SU51K,SU51SW,SU51,1970-1974,1970-1979
Vespula germanica,1970-11-15,1970,SU6206,SU60I,SU60NW,SU60,1970-1974,1970-1979
Vespula germanica,1970-11-15,1970,SU6206,SU60I,SU60NW,SU60,1970-1974,1970-1979
Vespula vulgaris,1971-10-09,1971,SU6005,SU60C,SU60NW,SU60,1970-1974,1970-1979
Vespula vulgaris,1909-05-25,1909,SU6005,SU60C,SU60NW,SU60,1905-1909,1900-1909
Vespula vulgaris,1909-05-25,1909,SU6005,SU60C,SU60NW,SU60,1905-1909,1900-1909
Vespula germanica,1970-11-15,1970,SU6206,SU60I,SU60NW,SU60,1970-1974,1970-1979
Vespula vulgaris,1971-07-11,1971,SU6005,SU60C,SU60NW,SU60,1970-1974,1970-1979
Vespula germanica,1971-10-23,1971,SU6204,SU60H,SU60SW,SU60,1970-1974,1970-1979
Vespula germanica,1970-11-15,1970,SU6206,SU60I,SU60NW,SU60,1970-1974,1970-1979
Vespula vulgaris,1971-07-17,1971,SU6005,SU60C,SU60NW,SU60,1970-1974,1970-1979
Vespula vulgaris,1970-10-19,1970,SU6005,SU60C,SU60NW,SU60,1970-1974,1970-1979
Vespula germanica,1970-11-15,1970,SU6206,SU60I,SU60NW,SU60,1970-1974,1970-1979
Vespula germanica,1970-11-15,1970,SU6206,SU60I,SU60NW,SU60,1970-1974,1970-1979
Vespula germanica,1971-10-23,1971,SU6204,SU60H,SU60SW,SU60,1970-1974,1970-1979
Vespula vulgaris,1976-07-18,1976,SU6206,SU60I,SU60NW,SU60,1975-1979,1970-1979
Vespula vulgaris,1970-10-19,1970,SU6005,SU60C,SU60NW,SU60,1970-1974,1970-1979
Vespula vulgaris,1970-10-03,1970,SU6005,SU60C,SU60NW,SU60,1970-1974,1970-1979
Vespula germanica,1971-10-23,1971,SU6204,SU60H,SU60SW,SU60,1970-1974,1970-1979
Vespula germanica,1971-10-23,1971,SU6204,SU60H,SU60SW,SU60,1970-1974,1970-1979
Vespula germanica,1971-10-23,1971,SU6204,SU60H,SU60SW,SU60,1970-1974,1970-1979
Vespula vulgaris,1973-04-14,1973,SU6206,SU60I,SU60NW,SU60,1970-1974,1970-1979
Vespula germanica,1971-09-04,1971,SU6206,SU60I,SU60NW,SU60,1970-1974,1970-1979
Vespula germanica,1970-05-24,1970,SU6206,SU60I,SU60NW,SU60,1970-1974,1970-1979
Vespula germanica,1976-08-14,1976,SU6160,SU66A,SU66SW,SU66,1975-1979,1970-1979
Vespula germanica,1936-07-20,1936,SU6160,SU66A,SU66SW,SU66,1935-1939,1930-1939
Vespula germanica,1936-07-20,1936,SU6160,SU66A,SU66SW,SU66,1935-1939,1930-1939
Vespula germanica,1936-07-20,1936,SU6160,SU66A,SU66SW,SU66,1935-1939,1930-1939
Vespula vulgaris,1972-08-26,1972,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1972-08-26,1972,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1974-08-24,1974,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1973-07-21,1973,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1973-05-19,1973,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1979-08-05,1979,SU7118,SU71E,SU71NW,SU71,1975-1979,1970-1979
Vespula vulgaris,1974-08-24,1974,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1974-08-24,1974,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1974-08-24,1974,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1974-08-24,1974,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1972-08-26,1972,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula germanica,1974-08-24,1974,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1974-08-24,1974,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1974-08-24,1974,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1972-08-26,1972,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula germanica,1974-08-24,1974,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1974-08-24,1974,SU7118,SU71E,SU71NW,SU71,1970-1974,1970-1979
Vespula vulgaris,1976-07-31,1976,SU7736,SU73T,SU73NE,SU73,1975-1979,1970-1979
Vespula vulgaris,1991-05-13,1991,SU8344,SU84H,SU84SW,SU84,1990-1994,1990-1999
Vespula vulgaris,1994-08-10,1994,SU8344,SU84H,SU84SW,SU84,1990-1994,1990-1999
Vespula vulgaris,1992-08-30,1992,SU8344,SU84H,SU84SW,SU84,1990-1994,1990-1999
Vespula germanica,1914-04-29,1914,SU8760,SU86Q,SU86SE,SU86,1910-1914,1910-1919
Vespula vulgaris,1921-07-19,1921,SU8760,SU86Q,SU86SE,SU86,1920-1924,1920-1929
Vespula germanica,1921-10-15,1921,SU8760,SU86Q,SU86SE,SU86,1920-1924,1920-1929
Vespula vulgaris,1921-07-19,1921,SU8760,SU86Q,SU86SE,SU86,1920-1924,1920-1929
Vespula vulgaris,1914-09-13,1914,SU8760,SU86Q,SU86SE,SU86,1910-1914,1910-1919
Vespula vulgaris,1921-07-19,1921,SU8760,SU86Q,SU86SE,SU86,1920-1924,1920-1929
Vespula vulgaris,1921-07-19,1921,SU8760,SU86Q,SU86SE,SU86,1920-1924,1920-1929
Vespula vulgaris,1914-09-03,1914,SU8760,SU86Q,SU86SE,SU86,1910-1914,1910-1919
Vespula vulgaris,1921-07-19,1921,SU8760,SU86Q,SU86SE,SU86,1920-1924,1920-1929
Vespula vulgaris,1929-04-24,1929,SU8760,SU86Q,SU86SE,SU86,1925-1929,1920-1929
Vespula vulgaris,1914-08-03,1914,SU8760,SU86Q,SU86SE,SU86,1910-1914,1910-1919
Vespula vulgaris,1915-09-24,1915,SU8760,SU86Q,SU86SE,SU86,1915-1919,1910-1919
Vespula vulgaris,1921-07-19,1921,SU8760,SU86Q,SU86SE,SU86,1920-1924,1920-1929
Vespula vulgaris,1921-07-19,1921,SU8760,SU86Q,SU86SE,SU86,1920-1924,1920-1929
Vespula vulgaris,1921-07-19,1921,SU8760,SU86Q,SU86SE,SU86,1920-1924,1920-1929
Vespula vulgaris,1921-07-19,1921,SU8760,SU86Q,SU86SE,SU86,1920-1924,1920-1929
Vespula vulgaris,1921-07-19,1921,SU8760,SU86Q,SU86SE,SU86,1920-1924,1920-1929
Vespa crabro,1979-08-23,1979,SU9917,SU91Y,SU91NE,SU91,1975-1979,1970-1979
Vespula germanica,1913-09-27,1913,SU9949,SU94Z,SU94NE,SU94,1910-1914,1910-1919
Vespa crabro,1932-09-09,1932,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1939-08-10,1939,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula vulgaris,1931-09-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1932-06-03,1932,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1931-09-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula vulgaris,1938-09-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
Vespula vulgaris,1931-11-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1931-09-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1933-08-05,1933,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1931-11-17,1931,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula germanica,1934-04-19,1934,SU9779,SU97U,SU97NE,SU97,1930-1934,1930-1939
Vespula vulgaris,1938-11-03,1938,SU9779,SU97U,SU97NE,SU97,1935-1939,1930-1939
